"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2025","0.000125","0.000125","0.000125","0.000125","","-89.99%"
"05/16/2025","0.001252","0.001253","0.001255","0.001250","","-0.08%"
"05/15/2025","0.001253","0.001253","0.001255","0.001251","","0.00%"
"05/14/2025","0.001253","0.001253","0.001255","0.001251","","0.00%"
"05/13/2025","0.001253","0.001252","0.001255","0.001250","","0.00%"
"05/12/2025","0.001253","0.001250","0.001254","0.001250","","0.08%"
"05/09/2025","0.001252","0.001251","0.001252","0.001250","","0.16%"
"05/08/2025","0.001250","0.001251","0.001254","0.001250","","-0.16%"
"05/07/2025","0.001252","0.001249","0.001254","0.001249","","0.08%"
"05/06/2025","0.001251","0.001251","0.001252","0.001250","","0.16%"
"05/05/2025","0.001249","0.001250","0.001251","0.001249","","-0.16%"
"05/02/2025","0.001251","0.001249","0.001252","0.001246","","0.08%"
"05/01/2025","0.001250","0.001250","0.001250","0.001250","","0.00%"
"04/30/2025","0.001250","0.001248","0.001255","0.001248","","0.08%"
"04/29/2025","0.001249","0.001249","0.001252","0.001246","","0.00%"
"04/28/2025","0.001249","0.001250","0.001252","0.001248","","0.00%"
"04/25/2025","0.001249","0.001250","0.001252","0.001248","","-0.08%"
"04/24/2025","0.001250","0.001250","0.001254","0.001250","","0.00%"
"04/23/2025","0.001250","0.001249","0.001254","0.001247","","0.00%"
"04/22/2025","0.001250","0.001249","0.001250","0.001248","","0.16%"
"04/21/2025","0.001248","0.001250","0.001253","0.001247","","0.00%"
"04/18/2025","0.001248","0.001249","0.001249","0.001249","","0.00%"
"04/17/2025","0.001248","0.001248","0.001248","0.001248","","0.00%"
"04/16/2025","0.001248","0.001251","0.001251","0.001249","","-0.08%"
"04/15/2025","0.001249","0.001250","0.001253","0.001250","","-0.08%"
"04/14/2025","0.001250","0.001250","0.001254","0.001250","","0.08%"
"04/11/2025","0.001249","0.001249","0.001251","0.001249","","0.00%"
"04/10/2025","0.001249","0.001250","0.001251","0.001249","","0.16%"
"04/09/2025","0.001247","0.001248","0.001252","0.001248","","-0.16%"
"04/08/2025","0.001249","0.001250","0.001250","0.001248","","0.24%"
"04/07/2025","0.001246","0.001248","0.001250","0.001247","","-0.16%"
"04/04/2025","0.001248","0.001247","0.001253","0.001247","","0.16%"
"04/03/2025","0.001246","0.001249","0.001249","0.001247","","0.08%"
"04/02/2025","0.001245","0.001253","0.001253","0.001247","","-0.24%"
"04/01/2025","0.001248","0.001253","0.001253","0.001249","","-0.32%"
"03/31/2025","0.001252","0.001256","0.001258","0.001250","","0.08%"
"03/28/2025","0.001251","0.001249","0.001257","0.001248","","-0.32%"
"03/27/2025","0.001255","0.001248","0.001257","0.001248","","0.64%"
"03/26/2025","0.001247","0.001250","0.001250","0.001246","","0.00%"
"03/25/2025","0.001247","0.001252","0.001252","0.001248","","-0.16%"
"03/24/2025","0.001249","0.001255","0.001255","0.001249","","-0.16%"
"03/21/2025","0.001251","0.001250","0.001256","0.001250","","-0.16%"
"03/20/2025","0.001253","0.001253","0.001256","0.001252","","0.24%"
"03/19/2025","0.001250","0.001254","0.001254","0.001249","","-0.08%"
"03/18/2025","0.001251","0.001255","0.001256","0.001252","","-0.08%"
"03/17/2025","0.001252","0.001259","0.001260","0.001253","","-0.16%"
"03/14/2025","0.001254","0.001260","0.001260","0.001253","","-0.32%"
"03/13/2025","0.001258","0.001262","0.001263","0.001258","","-0.08%"
"03/12/2025","0.001259","0.001261","0.001263","0.001259","","-0.24%"
"03/11/2025","0.001262","0.001261","0.001263","0.001261","","0.08%"
"03/10/2025","0.001261","0.001262","0.001263","0.001257","","0.00%"
"03/07/2025","0.001261","0.001263","0.001264","0.001259","","0.00%"
"03/06/2025","0.001261","0.001265","0.001265","0.001262","","-0.16%"
"03/05/2025","0.001263","0.001263","0.001265","0.001261","","-0.08%"
"03/04/2025","0.001264","0.001262","0.001266","0.001262","","0.16%"
"03/03/2025","0.001262","0.001262","0.001265","0.001262","","0.00%"
"02/28/2025","0.001262","0.001262","0.001265","0.001262","","0.08%"
"02/27/2025","0.001261","0.001261","0.001263","0.001261","","0.00%"
"02/26/2025","0.001261","0.001262","0.001262","0.001260","","0.08%"
"02/25/2025","0.001260","0.001264","0.001264","0.001258","","-0.08%"
"02/24/2025","0.001261","0.001266","0.001266","0.001262","","-0.16%"
"02/21/2025","0.001263","0.001267","0.001271","0.001263","","-0.16%"
"02/20/2025","0.001265","0.001265","0.001267","0.001265","","0.00%"
"02/19/2025","0.001265","0.001264","0.001268","0.001264","","0.00%"
"02/18/2025","0.001265","0.001265","0.001266","0.001263","","0.08%"
"02/17/2025","0.001264","0.001265","0.001268","0.001264","","0.00%"
"02/14/2025","0.001264","0.001269","0.001269","0.001265","","-0.08%"
"02/13/2025","0.001265","0.001271","0.001271","0.001261","","-0.24%"
"02/12/2025","0.001268","0.001271","0.001272","0.001268","","-0.16%"
"02/11/2025","0.001270","0.001268","0.001273","0.001268","","0.00%"
"02/10/2025","0.001270","0.001269","0.001273","0.001268","","0.16%"
"02/07/2025","0.001268","0.001267","0.001269","0.001266","","0.00%"
"02/06/2025","0.001268","0.001270","0.001270","0.001267","","0.08%"
"02/05/2025","0.001267","0.001269","0.001272","0.001267","","-0.16%"
"02/04/2025","0.001269","0.001270","0.001271","0.001268","","0.08%"
"02/03/2025","0.001268","0.001268","0.001274","0.001268","","-0.16%"
"01/31/2025","0.001270","0.001267","0.001270","0.001267","","0.24%"
"01/30/2025","0.001267","0.001267","0.001269","0.001267","","0.00%"
"01/29/2025","0.001267","0.001265","0.001269","0.001265","","0.16%"
"01/28/2025","0.001265","0.001265","0.001269","0.001265","","0.00%"
"01/27/2025","0.001265","0.001263","0.001270","0.001263","","0.08%"
"01/24/2025","0.001264","0.001264","0.001265","0.001263","","0.16%"
"01/23/2025","0.001262","0.001264","0.001266","0.001263","","-0.08%"
"01/22/2025","0.001263","0.001264","0.001264","0.001263","","-0.08%"
"01/21/2025","0.001264","0.001261","0.001267","0.001261","","0.00%"
"01/20/2025","0.001264","0.001268","0.001268","0.001262","","0.32%"
"01/17/2025","0.001260","0.001270","0.001270","0.001261","","-0.63%"
"01/16/2025","0.001268","0.001269","0.001273","0.001268","","0.00%"
"01/15/2025","0.001268","0.001267","0.001271","0.001267","","0.00%"
"01/14/2025","0.001268","0.001269","0.001270","0.001268","","0.16%"
"01/13/2025","0.001266","0.001270","0.001270","0.001266","","-0.16%"
"01/10/2025","0.001268","0.001274","0.001275","0.001269","","-0.08%"
"01/09/2025","0.001269","0.001267","0.001272","0.001267","","-0.24%"
"01/08/2025","0.001272","0.001263","0.001274","0.001263","","0.39%"
"01/07/2025","0.001267","0.001264","0.001268","0.001261","","0.32%"
"01/06/2025","0.001263","0.001272","0.001272","0.001263","","-0.08%"
"01/03/2025","0.001264","0.001277","0.001277","0.001261","","-0.24%"
"01/02/2025","0.001267","0.001282","0.001282","0.001270","","-0.63%"
"01/01/2025","0.001275","0.001275","0.001275","0.001275","","0.00%"
"12/31/2024","0.001275","0.001282","0.001285","0.001276","","0.00%"
