"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2017","0.000178","0.000178","0.000178","0.000178","","-0.70%"
"05/21/2017","0.000180","0.000180","0.000180","0.000180","","1.01%"
"05/22/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"05/23/2017","0.000178","0.000178","0.000178","0.000178","","-1.17%"
"05/24/2017","0.000178","0.000178","0.000178","0.000178","","0.00%"
"05/25/2017","0.000178","0.000178","0.000178","0.000178","","0.00%"
"05/26/2017","0.000177","0.000177","0.000177","0.000177","","-0.45%"
"05/28/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"05/29/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"05/30/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"05/31/2017","0.000179","0.000179","0.000179","0.000179","","1.25%"
"06/01/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/02/2017","0.000179","0.000179","0.000179","0.000179","","-0.36%"
"06/04/2017","0.000180","0.000180","0.000180","0.000180","","0.56%"
"06/05/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"06/06/2017","0.000179","0.000179","0.000179","0.000179","","-0.49%"
"06/07/2017","0.000180","0.000180","0.000180","0.000180","","0.40%"
"06/08/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"06/09/2017","0.000178","0.000178","0.000178","0.000178","","-0.98%"
"06/11/2017","0.000179","0.000179","0.000179","0.000179","","0.51%"
"06/12/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/13/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/14/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/15/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/16/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/18/2017","0.000180","0.000180","0.000180","0.000180","","0.37%"
"06/19/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"06/20/2017","0.000178","0.000178","0.000178","0.000178","","-0.91%"
"06/21/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/22/2017","0.000179","0.000179","0.000179","0.000179","","0.38%"
"06/23/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"06/25/2017","0.000180","0.000180","0.000180","0.000180","","0.50%"
"06/26/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"06/27/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"06/28/2017","0.000181","0.000181","0.000181","0.000181","","0.63%"
"06/29/2017","0.000180","0.000180","0.000180","0.000180","","-0.58%"
"06/30/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/02/2017","0.000180","0.000180","0.000180","0.000180","","-0.41%"
"07/03/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/04/2017","0.000179","0.000179","0.000179","0.000179","","0.00%"
"07/05/2017","0.000180","0.000180","0.000180","0.000180","","0.51%"
"07/06/2017","0.000181","0.000181","0.000181","0.000181","","0.29%"
"07/07/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/09/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/10/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/11/2017","0.000181","0.000181","0.000181","0.000181","","0.39%"
"07/12/2017","0.000181","0.000181","0.000181","0.000181","","0.46%"
"07/13/2017","0.000180","0.000180","0.000180","0.000180","","-0.54%"
"07/14/2017","0.000181","0.000181","0.000181","0.000181","","0.31%"
"07/16/2017","0.000181","0.000181","0.000181","0.000181","","0.00%"
"07/17/2017","0.000181","0.000181","0.000181","0.000181","","0.00%"
"07/18/2017","0.000180","0.000180","0.000180","0.000180","","-0.42%"
"07/19/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/20/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/21/2017","0.000183","0.000183","0.000183","0.000183","","1.45%"
"07/23/2017","0.000180","0.000180","0.000180","0.000180","","-1.34%"
"07/24/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/25/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/26/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"07/27/2017","0.000182","0.000182","0.000182","0.000182","","0.91%"
"07/28/2017","0.000179","0.000179","0.000179","0.000179","","-1.25%"
"07/30/2017","0.000180","0.000180","0.000180","0.000180","","0.60%"
"07/31/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/01/2017","0.000182","0.000182","0.000182","0.000182","","0.71%"
"08/02/2017","0.000180","0.000180","0.000180","0.000180","","-0.97%"
"08/03/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/04/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/06/2017","0.000178","0.000178","0.000178","0.000178","","-1.14%"
"08/07/2017","0.000178","0.000178","0.000178","0.000178","","0.00%"
"08/08/2017","0.000180","0.000180","0.000180","0.000180","","0.80%"
"08/09/2017","0.000179","0.000179","0.000179","0.000179","","-0.61%"
"08/10/2017","0.000180","0.000180","0.000180","0.000180","","0.90%"
"08/11/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/13/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/14/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/15/2017","0.000179","0.000179","0.000179","0.000179","","-0.62%"
"08/16/2017","0.000181","0.000179","0.000179","0.000181","","0.71%"
"08/17/2017","0.000180","0.000181","0.000181","0.000180","","0.00%"
"08/18/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/20/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/21/2017","0.000180","0.000180","0.000180","0.000180","","0.00%"
"08/22/2017","0.000180","0.000180","0.000180","0.000180","","-0.37%"
"08/23/2017","0.000179","0.000180","0.000180","0.000179","","0.00%"
"08/24/2017","0.000178","0.000179","0.000179","0.000178","","-0.48%"
"08/25/2017","0.000177","0.000178","0.000178","0.000177","","-0.47%"
"08/27/2017","0.000179","0.000179","0.000179","0.000179","","0.85%"
"08/28/2017","0.000178","0.000179","0.000179","0.000178","","-0.69%"
"08/29/2017","0.000176","0.000178","0.000178","0.000176","","-0.83%"
"08/30/2017","0.000176","0.000176","0.000176","0.000176","","0.00%"
"08/31/2017","0.000177","0.000176","0.000176","0.000177","","0.62%"
"09/01/2017","0.000177","0.000177","0.000177","0.000177","","-0.29%"
"09/03/2017","0.000176","0.000176","0.000176","0.000176","","-0.41%"
"09/04/2017","0.000176","0.000176","0.000176","0.000176","","0.00%"
"09/05/2017","0.000177","0.000176","0.000176","0.000177","","0.39%"
"09/06/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"09/07/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"09/08/2017","0.000177","0.000177","0.000177","0.000177","","-0.31%"
"09/10/2017","0.000176","0.000176","0.000176","0.000176","","0.00%"
"09/11/2017","0.000176","0.000176","0.000176","0.000176","","0.00%"
"09/12/2017","0.000178","0.000176","0.000176","0.000178","","0.93%"
"09/13/2017","0.000176","0.000178","0.000178","0.000176","","-0.93%"
"09/14/2017","0.000177","0.000176","0.000176","0.000177","","0.81%"
"09/15/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"09/17/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
"09/18/2017","0.000177","0.000177","0.000177","0.000177","","0.00%"
